avId,avName,depth,path,classification,basis,decidedAtNode,rationale,mappedReferences
AV-000,Conduct Open-Source Supply Chain Attack,0,AV-000,internal,structural,,"Category node; its children do not share one answer, so the rubric descends.",70
AV-100,Develop and Advertise Distinct Malicious Package from Scratch,1,AV-000 > AV-100,out-of-scope,no-counterpart,AV-100,A package that is malicious from creation has no honest anchored counterpart to diverge from. Its author can anchor it faithfully.,18
AV-200,Create Name Confusion with Legitimate Package,1,AV-000 > AV-200,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",18
AV-201,Combosquatting,2,AV-000 > AV-200 > AV-201,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",4
AV-202,Altering Word Order,2,AV-000 > AV-200 > AV-202,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",1
AV-203,Manipulating Word Separators,2,AV-000 > AV-200 > AV-203,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",2
AV-204,Typosquatting,2,AV-000 > AV-200 > AV-204,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",11
AV-205,Built-In Package,2,AV-000 > AV-200 > AV-205,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",4
AV-206,Brandjacking,2,AV-000 > AV-200 > AV-206,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",5
AV-207,Similarity Attack,2,AV-000 > AV-200 > AV-207,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",2
AV-208,Namespace Omission or Change,2,AV-000 > AV-200 > AV-208,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",1
AV-209,AI Package Hallucination,2,AV-000 > AV-200 > AV-209,out-of-scope,no-counterpart,AV-200,"Name confusion substitutes a different package rather than altering a legitimate one. Nothing anchored is contradicted. Verification is bound to a project identifier rather than a name, which removes the name as the trust anchor, but the system offers no signal at selection time.",1
AV-001,Subvert Legitimate Package,1,AV-000 > AV-001,internal,structural,,"Category node; its children do not share one answer, so the rubric descends.",0
AV-300,Inject into Sources of Legitimate Package,2,AV-000 > AV-001 > AV-300,internal,structural,,"Category node; its children do not share one answer, so the rubric descends.",10
AV-301,Introduce Malicious Code through Hypocrite Merge Request,3,AV-000 > AV-001 > AV-300 > AV-301,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,8
AV-304,Make Immature Vulnerability Exploitable,4,AV-000 > AV-001 > AV-300 > AV-301 > AV-304,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,4
AV-305,Exploit Rendering Weakness,4,AV-000 > AV-001 > AV-300 > AV-301 > AV-305,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,3
AV-306,Exploit Unicode Bidirectional Algorithm,5,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-306,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,2
AV-307,Use Homoglyphs,5,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-307,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,2
AV-308,Prevent Display of File Differences,5,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-308,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,1
