avId,avName,path,decidedAtNode,mappedReferences,tag-only,tag-only_rationale,tag+snapshots,tag+snapshots_rationale,tag+reverify,tag+reverify_rationale
AV-000,Conduct Open-Source Supply Chain Attack,AV-000,,70,internal,,internal,,internal,
AV-100,Develop and Advertise Distinct Malicious Package from Scratch,AV-000 > AV-100,AV-100,18,out-of-scope,,out-of-scope,,out-of-scope,
AV-200,Create Name Confusion with Legitimate Package,AV-000 > AV-200,AV-200,18,out-of-scope,,out-of-scope,,out-of-scope,
AV-201,Combosquatting,AV-000 > AV-200 > AV-201,AV-200,4,out-of-scope,,out-of-scope,,out-of-scope,
AV-202,Altering Word Order,AV-000 > AV-200 > AV-202,AV-200,1,out-of-scope,,out-of-scope,,out-of-scope,
AV-203,Manipulating Word Separators,AV-000 > AV-200 > AV-203,AV-200,2,out-of-scope,,out-of-scope,,out-of-scope,
AV-204,Typosquatting,AV-000 > AV-200 > AV-204,AV-200,11,out-of-scope,,out-of-scope,,out-of-scope,
AV-205,Built-In Package,AV-000 > AV-200 > AV-205,AV-200,4,out-of-scope,,out-of-scope,,out-of-scope,
AV-206,Brandjacking,AV-000 > AV-200 > AV-206,AV-200,5,out-of-scope,,out-of-scope,,out-of-scope,
AV-207,Similarity Attack,AV-000 > AV-200 > AV-207,AV-200,2,out-of-scope,,out-of-scope,,out-of-scope,
AV-208,Namespace Omission or Change,AV-000 > AV-200 > AV-208,AV-200,1,out-of-scope,,out-of-scope,,out-of-scope,
AV-209,AI Package Hallucination,AV-000 > AV-200 > AV-209,AV-200,1,out-of-scope,,out-of-scope,,out-of-scope,
AV-001,Subvert Legitimate Package,AV-000 > AV-001,,0,internal,,internal,,internal,
AV-300,Inject into Sources of Legitimate Package,AV-000 > AV-001 > AV-300,,10,internal,,internal,,internal,
AV-301,Introduce Malicious Code through Hypocrite Merge Request,AV-000 > AV-001 > AV-300 > AV-301,AV-301,8,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-304,Make Immature Vulnerability Exploitable,AV-000 > AV-001 > AV-300 > AV-301 > AV-304,AV-301,4,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-305,Exploit Rendering Weakness,AV-000 > AV-001 > AV-300 > AV-301 > AV-305,AV-301,3,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-306,Exploit Unicode Bidirectional Algorithm,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-306,AV-301,2,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-307,Use Homoglyphs,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-307,AV-301,2,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-308,Prevent Display of File Differences,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-308,AV-301,1,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-309,Hide in Generated/Compiled/Minified Code,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-309,AV-301,3,out-of-scope,,out-of-scope-with-record,"The injection is still faithfully anchored rather than caught: a snapshot of a poisoned branch records the poison. What changes is that branch-tip consumers gain something to verify against, and a commit later reverted or force-pushed away leaves an immutable trace. Useful for forensics, not detection.",out-of-scope,
AV-302,Contribute as Maintainer,AV-000 > AV-001 > AV-300 > AV-302,AV-302,4,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-300 > AV-302 > AV-601,AV-302,1,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-300 > AV-302 > AV-602,AV-302,10,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-603,AV-302,20,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-604,Bruteforce,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-604,AV-302,4,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-605,AV-302,5,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-606,AV-302,1,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-607,AV-302,3,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-608,AV-302,3,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-800,Become a Maintainer,AV-000 > AV-001 > AV-300 > AV-302 > AV-800,AV-302,9,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
